Abilene Christian,-7.76,.410,.340,.489,49.2,48.6,8.3,9.1,.443,26.4,28.2,.284
Air Force,-0.43,.322,.399,.593,59.3,55.9,9.9,8.2,.575,17.9,35.3,.217
Akron,-1.99,.256,.352,.517,47.2,45.0,7.5,6.6,.487,15.1,26.4,.186
Alabama A&M,-16.90,.362,.344,.479,49.4,51.0,10.3,7.4,.443,16.0,29.3,.237
Alabama-Birmingham,-5.18,.281,.364,.481,48.4,47.2,6.0,7.7,.446,22.1,25.5,.198
Alabama State,-19.02,.372,.326,.515,50.0,50.0,9.8,11.4,.471,18.7,28.5,.271
Alabama,10.04,.314,.341,.491,48.9,42.5,11.3,13.7,.454,17.9,29.0,.220
Albany (NY),-3.97,.275,.371,.533,52.9,50.0,8.1,11.0,.511,19.1,28.6,.183
Alcorn State,-9.71,.510,.396,.585,52.4,58.7,9.4,10.7,.560,19.8,31.9,.334
American,3.73,.403,.261,.522,53.3,41.6,14.0,7.8,.485,16.4,33.8,.275
Appalachian State,-5.23,.232,.396,.511,48.0,51.7,8.1,11.4,.484,18.2,25.3,.167
Arizona State,7.95,.399,.370,.559,55.5,56.6,7.2,8.0,.517,18.5,30.4,.296
Arizona,5.76,.323,.359,.525,44.6,46.3,7.9,7.2,.492,16.1,23.7,.227
Little Rock,-5.00,.268,.392,.543,47.7,53.3,10.1,8.6,.513,18.2,27.5,.198
Arkansas-Pine Bluff,-5.53,.384,.328,.573,53.9,61.1,12.4,11.0,.546,15.6,32.7,.262
Arkansas State,-5.46,.273,.343,.522,47.4,47.6,9.9,10.1,.485,16.7,27.5,.209
Arkansas,4.71,.314,.380,.509,46.9,47.1,8.9,9.0,.476,18.3,25.8,.218
Army,5.38,.248,.406,.530,50.6,50.5,10.3,10.2,.502,17.9,24.5,.181
Auburn,8.90,.326,.351,.528,48.1,45.5,11.7,11.6,.498,16.3,31.3,.224
Austin Peay,-7.47,.328,.372,.555,47.6,44.7,10.9,7.0,.530,20.7,29.8,.222
Ball State,0.61,.348,.371,.519,51.4,48.3,10.3,7.4,.484,15.3,30.5,.241
Baylor,2.69,.289,.345,.501,45.7,52.3,9.1,9.4,.476,22.5,29.7,.189
Bellarmine,-6.58,.282,.495,.551,47.2,55.1,8.0,7.4,.525,21.2,25.7,.200
Belmont,-8.83,.234,.372,.501,49.5,50.9,8.7,8.4,.480,18.1,27.5,.154
Binghamton,-4.70,.322,.356,.545,49.6,45.5,10.3,8.2,.513,14.3,27.0,.230
Boise State,-0.70,.268,.352,.512,46.9,45.9,6.8,5.9,.480,18.9,22.6,.196
Boston College,10.27,.305,.345,.567,53.2,48.6,9.3,9.3,.541,16.9,28.2,.217
Boston University,5.82,.291,.342,.563,48.3,49.2,10.2,7.8,.541,13.3,27.2,.199
Bowling Green State,-1.29,.282,.389,.544,50.7,50.7,7.8,9.0,.519,17.1,29.4,.197
Bradley,1.23,.288,.437,.514,47.7,55.3,9.8,5.6,.490,16.3,26.1,.189
Brigham Young,4.85,.290,.334,.495,45.2,47.3,9.2,5.5,.464,15.0,23.1,.199
Brown,,,,,,,,,,,,
Bryant,-5.28,.257,.378,.498,49.1,53.4,9.8,9.8,.469,15.8,30.6,.180
Bucknell,-3.01,.296,.298,.496,52.4,50.5,9.5,8.4,.452,14.1,28.9,.226
Buffalo,-1.39,.332,.327,.503,44.8,48.4,8.4,6.0,.459,15.7,26.5,.246
Butler,9.53,.315,.365,.556,51.1,55.8,8.2,11.7,.528,17.5,24.1,.223
Cal Poly,-3.70,.353,.332,.539,53.7,51.2,9.7,9.4,.508,16.2,27.7,.243
Cal State Bakersfield,-3.12,.406,.424,.530,43.7,56.4,8.8,7.0,.490,19.4,25.4,.284
Cal State Fullerton,-3.02,.278,.333,.545,54.2,55.0,8.6,9.1,.516,17.4,31.6,.202
Cal State Northridge,-4.11,.358,.393,.571,52.4,53.0,8.4,6.1,.533,16.4,27.4,.270
California Baptist,-7.37,.361,.327,.525,46.5,56.3,8.2,6.9,.499,14.9,24.7,.232
UC-Davis,-6.11,.399,.361,.573,50.9,54.2,8.6,7.6,.549,20.9,26.2,.265
UC-Irvine,-0.42,.299,.383,.494,43.8,54.7,10.3,5.8,.458,17.4,23.5,.212
UC-Riverside,-4.81,.282,.356,.482,46.4,47.7,6.9,8.3,.450,14.1,23.0,.193
UC-San Diego,0.83,.208,.364,.524,55.9,57.9,9.5,9.1,.504,18.1,29.6,.145
UC-Santa Barbara,-3.37,.294,.328,.500,45.7,46.4,6.5,5.2,.461,19.2,22.8,.218
University of California,6.55,.334,.336,.561,51.0,53.0,8.9,9.2,.533,15.9,24.4,.234
Campbell,-7.81,.316,.373,.545,54.1,43.7,8.4,6.8,.513,18.8,30.6,.226
Canisius,-6.91,.297,.316,.525,50.6,42.6,7.4,10.5,.495,18.2,26.4,.209
Central Arkansas,-1.23,.287,.397,.553,49.4,59.5,12.8,9.5,.522,14.1,28.1,.212
Central Connecticut State,-4.13,.324,.407,.566,55.2,58.7,10.5,8.3,.541,17.7,31.9,.224
Central Florida,9.47,.345,.393,.531,51.3,54.6,9.8,8.7,.500,16.9,32.6,.235
Central Michigan,-3.21,.256,.405,.548,51.5,53.3,8.6,9.2,.520,17.0,31.2,.188
Charleston Southern,-5.77,.340,.373,.533,50.5,49.2,12.5,11.7,.508,16.0,30.5,.224
Charlotte,-3.27,.256,.392,.536,50.1,54.2,10.8,10.7,.506,18.1,24.7,.191
Chattanooga,-2.63,.231,.354,.533,50.8,48.3,7.4,10.7,.511,16.8,24.9,.161
Chicago State,2.38,.328,.367,.619,62.0,59.0,9.0,8.8,.601,13.9,37.9,.228
Cincinnati,7.47,.384,.328,.539,48.9,54.2,9.2,9.6,.492,16.5,24.1,.290
Citadel,-1.29,.265,.330,.530,49.8,44.4,9.4,8.0,.495,13.4,26.0,.203
Clemson,11.39,.314,.406,.517,50.2,52.0,10.7,9.8,.489,19.6,27.5,.210
Cleveland State,-4.01,.394,.421,.532,50.6,52.8,9.2,7.1,.488,18.0,32.0,.287
Coastal Carolina,-7.43,.289,.443,.494,42.7,53.2,10.2,6.4,.464,17.4,26.3,.197
Colgate,0.79,.255,.370,.477,47.0,43.0,7.1,6.5,.450,15.1,25.6,.170
College of Charleston,-2.82,.337,.402,.544,50.5,52.3,7.5,9.2,.509,15.8,25.6,.245
Colorado State,0.45,.254,.442,.499,49.2,51.6,9.4,9.0,.479,17.3,25.4,.160
Colorado,5.72,.271,.347,.507,46.9,49.3,7.3,8.2,.473,17.8,25.2,.199
Columbia,,,,,,,,,,,,
Connecticut,8.56,.385,.344,.510,46.6,49.1,8.6,7.1,.468,16.9,28.9,.272
Coppin State,-3.34,.267,.409,.522,57.1,49.4,8.9,10.7,.491,17.8,32.7,.195
Cornell,,,,,,,,,,,,
Creighton,7.77,.268,.388,.496,50.8,50.2,7.8,8.7,.465,15.7,29.5,.190
Dartmouth,,,,,,,,,,,,
Davidson,2.38,.291,.424,.526,44.7,48.1,7.3,7.4,.493,14.1,19.2,.211
Dayton,4.73,.261,.361,.493,50.3,49.7,7.7,9.0,.472,15.2,29.1,.164
Delaware State,-4.16,.437,.384,.574,54.4,55.9,10.7,10.7,.533,16.2,33.2,.318
Delaware,-4.20,.294,.347,.512,47.8,44.3,9.6,8.0,.476,15.3,25.3,.216
Denver,-5.90,.405,.388,.595,53.3,43.1,9.3,8.9,.555,17.0,26.4,.309
DePaul,8.17,.336,.399,.512,48.7,56.7,10.3,8.0,.472,17.5,30.9,.244
Detroit Mercy,-4.22,.229,.426,.561,51.0,62.5,7.7,8.5,.542,16.4,28.6,.161
Dixie State,-4.89,.355,.351,.538,52.6,52.9,9.6,9.1,.510,17.1,30.0,.237
Drake,-2.54,.294,.364,.505,45.3,44.5,8.5,6.3,.469,17.5,24.5,.215
Drexel,-4.84,.299,.349,.531,47.1,42.5,8.8,9.3,.493,16.3,23.9,.226
