Abilene Christian,-5.40,.370,.376,.533,50.8,62.7,13.1,9.7,.505,16.4,31.4,.242
Air Force,0.65,.301,.447,.555,41.4,57.5,10.5,6.5,.531,21.9,14.8,.206
Akron,-1.75,.294,.486,.572,53.8,51.5,7.2,6.5,.541,15.3,30.2,.221
Alabama A&M,-10.04,.401,.372,.495,47.8,53.1,7.7,9.8,.460,18.6,26.2,.259
Alabama-Birmingham,-7.59,.316,.306,.535,51.3,42.2,12.4,12.8,.503,12.6,29.4,.225
Alabama State,-16.82,.432,.339,.459,50.4,47.0,8.4,7.0,.411,19.3,31.7,.285
Alabama,10.18,.304,.469,.549,51.1,52.2,11.5,9.9,.520,16.0,30.3,.217
Albany (NY),-3.00,.321,.355,.543,46.5,45.6,8.6,5.4,.513,16.2,20.3,.227
Alcorn State,-5.53,.351,.332,.480,46.0,31.6,10.3,4.0,.435,17.9,30.5,.249
American,-0.58,.241,.405,.562,48.4,44.5,11.6,12.2,.544,21.4,27.6,.165
Appalachian State,-4.60,.353,.420,.543,52.2,50.9,11.7,10.4,.501,15.5,30.2,.265
Arizona State,7.36,.362,.385,.539,43.7,48.8,9.8,11.1,.502,13.9,19.8,.259
Arizona,3.46,.429,.301,.554,56.1,58.5,9.4,12.5,.512,15.1,34.6,.309
Little Rock,-4.47,.377,.338,.557,52.7,58.0,9.7,10.1,.523,19.3,32.3,.269
Arkansas-Pine Bluff,-3.81,.385,.306,.470,46.3,45.9,8.5,9.8,.414,19.5,26.2,.283
Arkansas State,-6.55,.388,.285,.536,53.9,52.8,9.9,8.0,.497,16.5,34.1,.276
Arkansas,3.33,.301,.362,.545,54.1,49.9,11.1,13.6,.511,14.8,33.9,.222
Army,4.19,.277,.429,.551,49.5,57.8,9.4,4.6,.538,15.9,23.4,.170
Auburn,7.91,.372,.459,.558,52.2,57.3,8.8,15.2,.528,18.8,33.3,.259
Austin Peay,-5.75,.280,.348,.550,53.5,50.0,8.5,5.8,.524,18.4,36.3,.198
Ball State,-0.92,.326,.400,.527,47.8,51.1,8.7,7.4,.491,17.5,25.5,.234
Baylor,2.76,.270,.385,.609,54.5,56.6,13.6,11.2,.591,14.7,37.9,.190
Bellarmine,-5.65,.294,.308,.602,53.2,56.7,10.4,6.9,.576,14.8,28.6,.221
Belmont,-10.05,.306,.431,.610,49.7,59.4,11.0,7.4,.586,14.9,23.2,.227
Binghamton,-4.31,.238,.449,.501,50.0,46.4,7.4,7.9,.479,17.8,29.1,.156
Boise State,-3.75,.349,.364,.567,55.1,51.1,10.5,8.0,.534,13.5,30.3,.256
Boston College,10.65,.291,.464,.539,47.9,46.9,9.9,11.8,.515,17.2,24.9,.197
Boston University,6.26,.288,.412,.501,52.4,42.3,6.9,7.0,.464,16.6,32.8,.210
Bowling Green State,-1.10,.308,.377,.524,48.9,45.6,9.7,5.2,.486,12.1,29.7,.230
Bradley,1.88,.253,.346,.529,53.6,53.3,8.0,12.2,.505,16.4,31.7,.175
Brigham Young,4.00,.273,.399,.576,55.2,57.9,6.5,6.8,.552,16.4,30.1,.196
Brown,,,,,,,,,,,,
Bryant,-5.31,.372,.418,.588,50.5,56.3,9.8,8.9,.551,17.5,28.7,.283
Bucknell,-2.95,.355,.394,.559,47.6,50.2,8.5,8.6,.513,16.5,18.9,.280
Buffalo,-0.60,.303,.336,.535,53.0,51.4,10.8,8.6,.512,15.4,34.3,.199
Butler,10.10,.281,.379,.495,49.6,52.5,7.2,6.1,.477,14.7,25.0,.170
Cal Poly,-2.35,.290,.381,.476,46.8,56.0,8.9,8.9,.441,18.2,22.7,.203
Cal State Bakersfield,-4.50,.319,.251,.519,57.5,49.4,9.8,9.9,.484,16.6,40.4,.228
Cal State Fullerton,-4.47,.366,.359,.570,46.4,50.9,9.0,4.8,.535,16.4,21.6,.269
Cal State Northridge,-4.46,.301,.390,.525,47.6,53.6,8.4,6.3,.488,15.5,24.4,.226
California Baptist,-9.31,.343,.445,.599,55.3,68.0,6.6,7.4,.566,17.0,31.6,.261
UC-Davis,-3.58,.398,.314,.551,47.8,47.8,10.0,7.1,.496,17.1,23.6,.318
UC-Irvine,-0.09,.266,.248,.535,57.1,45.2,11.6,9.3,.501,16.9,34.9,.204
UC-Riverside,-5.44,.207,.422,.544,54.0,56.1,7.3,6.3,.529,16.9,28.1,.137
UC-San Diego,0.53,.245,.498,.546,43.8,64.1,10.6,6.8,.528,20.1,17.2,.162
UC-Santa Barbara,-4.50,.326,.345,.592,54.8,60.9,10.7,7.9,.567,13.6,29.2,.234
University of California,5.90,.344,.418,.538,48.8,54.0,7.3,6.1,.509,17.9,23.1,.233
Campbell,-7.00,.359,.367,.586,44.3,55.0,9.4,6.0,.568,17.6,17.9,.236
Canisius,-3.57,.349,.450,.496,48.5,63.2,8.4,8.9,.458,17.0,26.8,.239
Central Arkansas,0.93,.327,.316,.537,51.2,51.5,6.3,6.1,.498,22.0,27.9,.244
Central Connecticut State,-3.30,.265,.370,.525,44.5,50.4,10.1,8.7,.499,17.3,21.5,.185
Central Florida,11.88,.329,.361,.521,48.6,47.9,9.3,7.3,.483,20.3,29.1,.240
Central Michigan,-2.47,.378,.306,.527,49.3,39.6,11.7,7.0,.498,15.8,30.0,.246
Charleston Southern,-4.52,.290,.413,.511,49.6,45.8,9.0,9.2,.478,21.0,27.1,.205
Charlotte,-1.86,.416,.363,.551,50.1,55.6,8.6,9.5,.508,19.3,22.3,.304
Chattanooga,-3.51,.288,.369,.555,49.3,47.7,9.8,3.9,.517,14.5,23.8,.227
Chicago State,2.29,.254,.408,.448,38.0,49.4,7.6,3.7,.413,20.1,16.6,.177
Cincinnati,7.62,.324,.374,.508,51.5,59.2,8.8,9.1,.480,17.9,28.2,.211
Citadel,-1.91,.345,.477,.583,51.5,56.2,7.4,10.2,.560,15.2,28.2,.237
Clemson,10.65,.245,.435,.511,48.7,52.7,10.2,8.9,.479,16.6,26.3,.182
Cleveland State,-3.53,.337,.356,.519,49.0,51.2,11.3,6.8,.491,17.6,30.5,.222
Coastal Carolina,-7.00,.327,.378,.591,57.3,56.6,12.7,11.5,.567,17.6,39.2,.231
Colgate,-0.42,.321,.370,.591,53.6,54.0,10.3,7.5,.559,11.8,28.4,.244
College of Charleston,-1.01,.287,.384,.540,49.8,42.2,8.2,9.6,.514,14.2,24.7,.198
Colorado State,0.61,.325,.444,.600,50.3,58.4,8.1,7.6,.566,18.2,20.9,.253
Colorado,4.97,.295,.368,.567,53.3,54.5,7.8,8.9,.523,14.0,30.5,.248
Columbia,,,,,,,,,,,,
Connecticut,6.80,.314,.340,.522,54.2,51.4,10.7,14.6,.490,15.6,37.8,.221
Coppin State,-3.07,.408,.500,.502,42.9,52.8,11.3,7.5,.472,18.0,18.8,.256
Cornell,,,,,,,,,,,,
Creighton,7.29,.290,.446,.584,48.8,55.3,9.5,10.0,.567,14.1,24.1,.194
Dartmouth,,,,,,,,,,,,
Davidson,2.16,.300,.465,.579,55.9,55.6,7.3,9.6,.559,15.4,29.3,.205
Dayton,3.49,.336,.421,.579,49.5,56.3,7.0,5.5,.548,19.5,22.2,.247
